aon,total_mou,total_data_usage,segment,churn
494,2887.73,0.0,1,0
610,1013.02,0.0,1,0
1766,4479.629999999999,0.0,2,0
970,22778.14000000001,0.0,0,0
502,5245.899999999998,0.0,1,0
905,3882.9900000000016,0.0,1,0
1384,1544.3100000000002,0.0,1,0
238,1577.8900000000003,0.0,1,0
359,7104.42,2674.72,1,0
1727,9532.719999999998,51.8,2,0
902,35305.64,0.0,0,0
315,825.96,2438.39,1,0
467,17067.519999999997,3517.14,0,0
478,9700.809999999996,0.0,1,0
249,341.82,671.4100000000001,1,0
2910,3518.7699999999995,0.0,2,0
448,1697.1700000000003,0.0,1,0
1508,2318.059999999999,0.0,1,0
332,1349.17,286.5,1,0
740,1042.04,0.0,1,0
1421,796.6999999999999,0.0,1,0
973,1282.12,0.0,1,0
2954,35631.54,1644.3300000000002,0,0
3532,6693.980000000001,0.0,2,0
300,2559.1000000000004,0.0,1,0
587,10581.590000000004,0.0,1,0
627,7772.589999999998,0.0,1,0
1161,7555.93,3.13,1,0
2888,1338.1999999999998,0.0,2,0
426,5284.79,0.0,1,0
2328,1928.57,0.0,2,0
516,6888.250000000001,413.9200000000001,1,0
435,1080.8599999999997,648.9,1,0
2864,7279.650000000001,0.0,2,0
3109,5083.970000000001,0.0,2,0
1029,8700.749999999998,0.0,1,0
439,564.0200000000001,0.0,1,0
502,502.75000000000006,233.69,1,0
2012,11587.64,1.28,2,0
885,10538.109999999995,0.0,1,0
1218,33942.130000000005,3335.44,0,0
1022,5410.170000000002,4241.52,1,0
207,14659.9,0.0,1,0
2719,13532.29,0.0,2,0
479,9188.11,816.29,1,0
617,939.29,0.0,1,0
2835,3671.27,107.52,2,0
1001,13373.04,0.0,1,0
786,2396.22,0.0,1,0
1781,4257.840000000001,0.0,2,0
264,5779.92,0.0,1,0
1179,1328.94,0.0,1,0
2624,10002.519999999997,4257.78,2,0
1307,25194.92000000001,1.0,0,0
3299,5910.68,2933.11,2,0
2633,5373.330000000001,1541.2299999999998,2,0
2869,23609.28,4720.88,0,0
1390,3399.680000000001,0.0,1,0
439,8938.329999999998,0.0,1,0
888,1897.7900000000009,0.0,1,0
1607,5768.330000000001,0.0,1,0
2477,49749.07000000001,5.68,0,0
2891,218.16,0.0,2,0
387,7420.309999999999,0.0,1,0
2015,10068.23,6810.42,3,0
542,23612.16,2814.28,0,0
507,707.0800000000002,0.0,1,0
1071,8779.29,0.0,1,0
2099,460.22,385.81,2,0
1850,3477.6200000000003,0.0,2,0
2258,2617.489999999999,0.0,2,0
1421,3553.940000000001,0.0,1,0
2434,7109.470000000002,0.0,2,0
232,7394.959999999996,1698.03,1,0
362,5090.99,0.0,1,0
2450,2500.55,0.0,2,0
601,5625.950000000001,299.98,1,0
1983,10355.69,8373.09,3,0
1203,6458.18,13.0,1,0
229,1509.12,1045.19,1,0
3471,41684.85,3.0,0,0
687,11295.659999999998,13.47,1,0
258,11856.309999999996,0.0,1,0
1012,4769.360000000001,4041.55,1,0
1314,1717.2000000000005,9601.23,3,0
603,10097.85,0.0,1,0
611,379.6099999999999,0.0,1,0
479,197.98000000000013,0.0,1,0
3608,8123.939999999999,0.0,2,0
2090,22803.81,1779.2600000000002,0,0
1622,3117.69,0.0,1,0
490,8354.540000000003,52.36,1,0
2983,6673.969999999998,2325.43,2,0
1262,2396.7200000000003,0.0,1,0
219,977.72,211.58,1,0
244,1588.1899999999998,3637.36,1,0
2555,2260.7700000000004,0.0,2,0
875,6369.689999999999,0.0,1,0
780,3156.9100000000017,3302.88,1,0
1185,6673.28,0.0,1,0
773,3005.32,3267.58,1,0
267,904.7,0.0,1,0
2412,13462.420000000002,0.0,2,0
2600,2616.01,428.28,2,0
334,3158.93,3.63,1,0
978,6168.280000000001,0.0,1,0
1145,13954.979999999998,0.0,1,0
359,5991.570000000002,0.0,1,0
1069,0.0,0.0,1,1
925,0.0,0.0,1,1
1878,9102.959999999995,0.0,2,0
410,22047.709999999992,8955.92,3,0
495,3108.7700000000004,0.0,1,0
487,11200.97,1943.0,1,0
269,1022.6499999999996,0.0,1,0
308,23120.58,6224.6,0,0
326,5294.059999999998,0.0,1,0
541,74.23,2292.88,1,0
1994,3671.77,0.0,2,0
705,2019.24,3808.32,1,0
3351,14483.299999999996,2951.66,2,0
425,5212.959999999999,121.28000000000002,1,0
884,3911.18,333.28000000000003,1,0
2834,403.30000000000007,807.06,2,0
535,1266.0600000000004,0.0,1,0
568,26558.71,3556.9,0,0
496,4711.04,81.56,1,0
301,4081.1100000000006,0.0,1,0
840,909.9399999999998,0.0,1,0
2569,1868.6000000000004,0.0,2,0
868,8345.620000000003,0.0,1,0
1111,11380.590000000002,104.71,1,0
565,15196.09,485.25,0,0
1522,9407.78,0.0,1,0
258,2287.21,0.0,1,0
492,2592.120000000001,278.94,1,0
1267,2928.35,0.0,1,0
728,3101.920000000001,480.56,1,0
1006,8186.37,0.0,1,0
671,0.0,0.0,1,1
249,4171.510000000001,0.0,1,0
328,3711.1600000000008,1052.48,1,0
3410,13600.029999999995,0.0,2,0
803,14824.059999999998,0.0,1,0
253,1337.9699999999998,0.0,1,0
605,1560.1999999999996,0.0,1,0
1995,3404.1399999999994,0.0,2,0
443,7164.919999999997,0.0,1,0
311,30793.09000000001,582.52,0,0
3472,3127.95,1660.44,2,0
448,7031.300000000001,0.0,1,0
834,15600.830000000004,7.0,0,0
845,13061.939999999997,0.0,1,0
2706,18586.16,8264.39,3,0
3106,3454.55,0.0,2,0
509,72.65,2831.94,1,0
646,5768.130000000001,0.0,1,0
2546,5997.780000000002,0.0,2,0
2372,3746.67,8.05,2,0
1525,9936.050000000005,776.94,1,0
1985,13675.489999999996,2189.68,2,0
2494,2776.5500000000006,0.0,2,0
2372,30904.570000000003,0.0,0,0
306,2786.350000000001,1654.7700000000002,1,0
286,653.68,2.8200000000000003,1,0
2236,6599.290000000001,0.0,2,0
1281,7805.3499999999985,0.0,1,0
1433,2385.9700000000007,0.0,1,0
1174,2905.8200000000006,68.0,1,0
1310,3125.489999999999,0.0,1,0
462,3884.2600000000007,2057.71,1,0
1057,12457.3,0.0,1,0
782,244.15,1681.13,1,0
935,25387.269999999982,308.06,0,0
307,4342.349999999999,0.0,1,0
582,2511.9300000000003,0.0,1,0
560,1627.44,0.0,1,0
1307,1976.86,23848.85,3,0
750,6597.68,26.19,1,0
831,4095.0600000000018,0.0,1,0
557,3674.66,0.0,1,0
309,15161.689999999997,1575.47,1,0
318,0.0,0.0,1,1
229,775.74,570.19,1,0
214,2663.559999999999,0.0,1,0
936,13229.65,1018.97,1,0
663,0.0,0.0,1,1
1257,1757.2800000000002,0.0,1,0
3651,11723.339999999998,71.42999999999999,2,0
459,413.7499999999999,241.83,1,0
1827,5908.280000000002,1.0,2,0
258,9263.569999999998,4074.49,1,0
709,2580.51,4852.51,1,0
1412,6130.010000000001,0.0,1,0
330,1982.51,1.0,1,0
288,2650.5299999999984,0.0,1,0
829,2854.3,1125.17,1,0
206,41395.91,0.0,0,0
504,1016.0500000000002,0.0,1,0
1538,17458.360000000008,0.0,0,0
2531,7084.96,2489.28,2,0
221,8472.24,725.55,1,0
470,21361.46999999999,0.0,0,0
189,11935.590000000002,0.0,1,0
965,15397.170000000002,0.0,0,0
880,2232.8600000000006,0.0,1,0
493,4417.740000000001,48.9,1,0
201,1239.5000000000002,145.04000000000002,1,0
1285,8126.19,0.0,1,0
2939,15022.349999999997,0.0,2,0
1543,1880.58,0.0,1,0
281,10966.140000000005,12892.49,3,0
842,2704.77,0.0,1,0
941,5155.000000000001,0.0,1,0
2747,10391.569999999998,0.0,2,0
289,1189.04,89.82000000000001,1,0
659,3785.47,0.0,1,0
2966,9597.46,0.0,2,0
1287,5644.200000000002,0.0,1,0
934,2642.7600000000007,0.0,1,0
495,5426.230000000002,0.0,1,0
2533,6657.509999999998,372.9,2,0
1045,2032.32,1682.73,1,0
3107,3657.750000000001,0.0,2,0
862,13687.979999999998,0.0,1,0
1110,5025.64,0.0,1,0
2548,4699.060000000001,1344.26,2,0
896,34753.83,0.0,0,0
1592,14020.249999999996,4178.78,0,0
754,969.72,4635.37,1,0
492,2311.3700000000003,530.78,1,0
2405,1321.6800000000003,2442.88,2,0
380,762.5399999999998,521.6,1,0
818,3568.1199999999994,0.0,1,0
1153,3262.0899999999992,0.0,1,0
402,2009.49,0.0,1,0
785,3606.3600000000006,1813.29,1,0
642,364.05,181.73,1,0
1385,4284.08,0.0,1,0
3337,10199.789999999995,0.0,2,0
1821,14630.17,0.0,2,0
2833,7313.030000000002,28.11,2,0
191,877.83,0.0,1,0
2241,6000.489999999999,0.0,2,0
1423,6380.780000000001,4820.15,1,0
2314,8232.820000000002,299.21,2,0
738,11437.979999999998,0.0,1,0
3089,4904.130000000001,0.0,2,0
2986,1297.1499999999996,802.76,2,0
440,3116.670000000001,0.0,1,0
1305,5188.459999999997,0.0,1,0
303,4072.1000000000017,0.0,1,0
503,6766.839999999997,993.61,1,0
1770,30289.42000000001,2296.34,0,0
495,4565.699999999999,0.0,1,0
203,3079.68,0.0,1,0
504,2138.46,2860.11,1,0
343,2092.46,0.0,1,0
1656,10029.589999999998,0.0,2,0
710,2056.64,0.0,1,0
672,2279.25,809.96,1,0
1325,284.68999999999994,636.2,1,0
225,271.03,412.11,1,0
824,9079.749999999996,0.0,1,0
491,11.670000000000002,1875.2200000000005,1,0
2597,3972.910000000001,892.59,2,0
3651,13887.37,0.0,2,0
458,17735.250000000007,0.0,0,0
767,463.9299999999999,0.0,1,0
1039,11317.659999999996,0.0,1,0
269,540.0600000000001,0.0,1,0
424,16714.659999999996,2679.44,0,0
2533,10205.24,3013.9,2,0
266,12837.169999999998,10844.17,3,0
765,6219.569999999999,0.0,1,0
341,747.8199999999999,0.0,1,0
2596,14614.52,0.0,2,0
485,1775.9100000000003,7473.280000000001,3,0
382,2626.500000000001,0.0,1,0
2498,1739.3,0.0,2,0
824,6201.720000000002,0.0,1,0
3104,6100.22,0.0,2,0
1102,2634.4099999999994,0.0,1,0
2720,8248.23,15.260000000000002,2,0
1077,2322.9600000000005,0.0,1,0
2905,11773.570000000003,0.0,2,0
444,15793.319999999998,0.0,0,0
1281,9028.58,0.0,1,0
288,2172.590000000001,0.0,1,0
2063,4936.7300000000005,0.0,2,0
963,2223.2200000000003,16.689999999999998,1,0
1065,9872.829999999994,0.0,1,0
627,3462.460000000002,0.0,1,0
1676,5089.79,0.0,2,0
191,7661.330000000001,65.8,1,0
1100,9010.35,0.0,1,0
1959,8964.760000000002,977.99,2,0
215,78.01000000000002,1900.16,1,0
2027,3214.3700000000003,0.0,2,0
2087,235.39,0.12,2,0
1486,12766.559999999998,0.0,1,0
1315,1149.6699999999998,393.25,1,0
1311,1218.7699999999993,0.0,1,0
378,9842.5,0.0,1,0
390,2168.219999999999,4.0,1,0
558,1168.08,12604.06,3,0
1035,8928.670000000002,0.0,1,0
2773,7530.96,0.0,2,0
1521,9015.139999999998,0.0,1,0
3232,8362.99,0.0,2,0
3651,2654.1600000000008,799.8299999999999,2,0
1044,3043.5800000000004,4.3100000000000005,1,0
1718,11508.67,4.0,2,0
302,8903.559999999998,2735.59,1,0
2750,11054.399999999998,3718.04,2,0
1395,52.39000000000001,3901.78,1,0
344,6388.52,86.05,1,0
2393,3297.179999999999,0.0,2,0
650,770.19,246.4,1,0
1756,6427.959999999999,0.0,2,0
346,1862.8000000000004,2358.11,1,0
429,6017.659999999999,434.77,1,0
222,3191.6600000000008,0.0,1,0
660,5195.359999999999,0.0,1,0
1826,2311.0800000000004,1.53,2,0
277,6396.7,1657.69,1,0
391,5240.87,14.81,1,0
324,4735.510000000001,0.0,1,0
303,2270.96,0.0,1,0
928,3449.0900000000006,0.0,1,0
945,54.92000000000001,2382.93,1,0
769,7151.979999999999,0.0,1,0
235,2710.7499999999995,0.0,1,0
2894,2750.0200000000004,0.0,2,0
2012,9892.74,0.0,2,0
713,684.1,952.2,1,0
280,1989.56,1032.5,1,0
874,6796.829999999997,14.32,1,0
251,29.200000000000006,1417.2899999999995,1,0
1507,2111.77,0.0,1,0
1335,1836.78,0.0,1,0
646,5613.960000000001,0.0,1,0
749,15.830000000000002,7834.280000000001,3,0
672,11649.909999999996,1.0,1,0
2868,9379.6,0.0,2,0
483,2919.179999999999,0.0,1,0
2859,5199.8,1853.42,2,0
359,3554.16,635.88,1,0
1780,1387.47,0.0,2,0
273,2482.05,700.86,1,0
1194,6270.88,0.0,1,0
301,4833.73,0.0,1,0
1044,14766.39,0.0,0,0
1079,9547.139999999996,0.0,1,0
935,4268.669999999999,0.0,1,0
596,2625.7300000000005,449.56,1,0
493,4535.670000000003,2.1,1,0
2308,5734.470000000001,0.0,2,0
411,1869.5099999999995,704.74,1,0
266,3375.6000000000013,1.0,1,0
988,5922.02,0.0,1,0
677,4310.000000000001,0.0,1,0
743,6611.080000000001,0.0,1,0
912,4896.660000000001,0.0,1,0
199,1146.7600000000002,1602.9800000000002,1,0
598,2741.1600000000008,237.56,1,0
695,7002.139999999999,0.0,1,0
528,7853.380000000003,1114.42,1,0
1987,4905.33,0.0,2,0
312,6902.41,0.0,1,0
453,573.1,0.0,1,0
273,22.47,3109.8699999999994,1,0
2022,5454.000000000002,0.0,2,0
1014,2520.9,0.0,1,0
1957,9283.15,3.0,2,0
481,14632.319999999998,818.05,1,0
715,9656.24,0.0,1,0
431,15317.719999999996,0.0,1,0
496,13844.459999999995,7.439999999999999,1,0
1080,4657.000000000002,0.0,1,0
556,1479.1799999999998,0.0,1,0
3478,2211.17,0.0,2,0
1495,8742.239999999998,0.0,1,0
619,23383.52000000001,356.65,0,0
250,3900.350000000001,221.63,1,0
356,10811.96,0.0,1,0
307,196.00000000000003,0.0,1,0
301,9008.77,0.0,1,0
425,2177.0399999999995,1615.04,1,0
333,3690.21,0.0,1,0
651,6535.339999999997,0.0,1,0
587,1442.4900000000002,0.0,1,0
494,5198.830000000001,631.9499999999999,1,0
670,1842.08,0.0,1,0
1181,1715.1999999999998,0.0,1,0
495,7988.38,3277.43,1,0
3595,139.94,4000.85,2,0
341,4796.129999999999,0.0,1,0
847,2619.739999999997,0.0,1,0
433,1177.81,0.0,1,0
256,661.3899999999996,0.0,1,0
472,4275.73,0.0,1,0
677,12083.2,0.0,1,0
683,8803.35,4919.09,1,0
357,14081.949999999995,0.0,1,0
476,7661.130000000001,1.0,1,0
2687,11425.86,0.0,2,0
949,351.72,0.0,1,0
3651,6678.44,0.0,2,0
3651,10690.849999999997,5734.2,2,0
1283,6553.139999999999,0.0,1,0
2372,4634.639999999999,2246.74,2,0
3238,2193.06,0.0,2,0
321,2244.5800000000013,0.0,1,0
727,19849.81,6094.79,0,0
2844,2676.37,0.0,2,0
715,2386.390000000002,0.0,1,0
3444,2492.05,0.0,2,0
461,1815.0100000000004,160.05999999999997,1,0
282,5986.130000000002,1186.53,1,0
2454,3989.020000000002,0.0,2,0
468,4359.19,3187.9700000000003,1,0
492,4815.669999999998,0.0,1,0
3134,5660.019999999998,0.0,2,0
846,3326.2200000000007,0.0,1,0
254,2221.86,0.0,1,0
3271,2230.49,0.0,2,0
2937,6787.199999999999,0.0,2,0
1348,5535.899999999999,0.0,1,0
773,6806.719999999997,38.76,1,0
548,27815.17000000001,0.0,0,0
2402,1071.2999999999995,0.0,2,0
522,3433.75,7345.059999999999,3,0
1218,5487.939999999998,0.0,1,0
280,10321.0,3.15,1,0
1485,20725.52,12742.73,3,0
602,35609.06999999999,8.29,0,0
500,6132.6,0.0,1,0
526,1510.3800000000003,2722.05,1,0
1572,3844.89,0.0,1,0
348,15312.409999999996,0.0,1,0
366,485.07,104.47,1,0
2838,12889.6,0.0,2,0
3471,13261.050000000005,1435.4800000000002,2,0
824,17733.550000000003,0.0,0,0
215,876.1700000000002,31096.32,3,0
714,1796.7800000000002,3225.9700000000003,1,0
3486,3883.450000000002,0.0,2,0
2936,6592.099999999999,1174.5300000000002,2,0
3266,3175.0299999999984,0.0,2,0
702,2917.5400000000022,0.0,1,0
1747,2983.840000000001,0.0,2,0
1243,10459.949999999995,0.0,1,0
2639,2753.42,0.0,2,0
1220,9613.33,13.0,1,0
3232,8420.980000000001,1263.71,2,0
735,4597.220000000001,0.0,1,0
531,27460.86,5.109999999999999,0,0
573,13660.069999999992,1.0,1,0
847,24020.45,1.0,0,0
2484,20712.67000000001,0.0,0,0
2314,2961.290000000002,0.0,2,0
865,1538.9,0.0,1,0
980,9200.91,0.0,1,0
559,6278.32,0.0,1,0
909,7513.570000000001,0.0,1,0
487,6199.250000000001,0.0,1,0
1102,13861.740000000003,207.74,1,0
1615,15493.80000000001,6261.63,3,0
214,193.94000000000003,2398.96,1,0
2690,18604.94,0.0,2,0
2820,5663.200000000001,1662.69,2,0
1995,2002.6200000000008,0.0,2,0
329,2150.7200000000003,7698.400000000001,3,0
199,107.48999999999998,3531.71,1,0
1402,24336.38,23.01,0,0
644,3862.100000000001,0.0,1,0
470,8973.90999999999,0.0,1,0
494,1969.09,1000.9,1,0
545,6699.339999999998,0.0,1,0
853,319.18000000000006,12925.47,3,0
920,2176.5300000000007,368.91,1,0
2342,4927.47,0.0,2,0
454,2558.78,0.0,1,0
617,3723.61,0.0,1,0
274,7278.51,0.0,1,0
370,2953.77,0.0,1,0
621,1304.34,2392.27,1,0
2713,8918.709999999995,0.0,2,0
807,2752.33,0.0,1,0
516,1053.0000000000002,0.0,1,0
1637,5690.91,62.38,1,0
2471,8552.730000000003,101.25,2,0
687,7944.849999999999,0.0,1,0
199,5157.33,0.0,1,0
235,85525.38999999998,0.0,0,0
2491,2316.05,0.0,2,0
2372,2768.8700000000017,0.0,2,0
699,1496.29,0.0,1,0
2914,774.8799999999999,0.0,2,0
563,3994.8000000000006,0.0,1,0
679,9276.759999999997,0.0,1,0
465,0.0,0.0,1,1
2372,2212.6,0.0,2,0
1530,775.5,0.0,1,0
771,19279.159999999985,0.0,0,0
1481,2581.420000000001,0.0,1,0
2492,5203.369999999999,0.0,2,0
1906,6236.680000000003,0.0,2,0
524,6923.58,0.0,1,0
205,27233.34,0.0,0,0
502,10628.649999999996,0.0,1,0
466,22893.93,0.0,0,0
2234,10805.119999999994,0.0,2,0
1299,1966.55,0.0,1,0
755,6606.049999999999,355.94,1,0
1110,1241.99,635.13,1,0
1280,8809.030000000002,0.0,1,0
724,4422.850000000001,885.89,1,0
1489,2235.8600000000006,4514.719999999999,1,0
189,517.17,984.13,1,0
1542,2084.05,1104.79,1,0
1400,3622.29,45.13,1,0
1750,1327.1699999999998,0.0,2,0
1444,1442.0300000000009,0.0,1,0
1997,4088.12,0.0,2,0
2210,10148.96,0.0,2,0
3108,3807.17,0.0,2,0
314,135.32999999999998,2509.5399999999995,1,0
2443,3123.47,0.0,2,0
229,6112.830000000001,0.0,1,0
194,249.93,2017.05,1,0
495,6980.190000000001,3569.4,1,0
342,1140.61,2877.5200000000004,1,0
1501,3319.7900000000004,0.0,1,0
486,5361.079999999999,0.0,1,0
852,2219.6199999999994,0.0,1,0
1344,5889.509999999998,0.0,1,0
3169,1588.3600000000006,1.05,2,0
304,2124.39,7769.15,3,0
363,6811.830000000001,4311.49,1,0
316,10051.660000000002,0.0,1,0
1635,786.73,0.0,1,0
1410,2398.6800000000007,0.0,1,0
548,686.5200000000001,198.03,1,0
500,5187.489999999999,0.0,1,0
2657,1339.0300000000004,0.0,2,0
240,26313.49,286.86,0,0
217,6344.87,0.0,1,0
888,36353.87999999999,0.0,0,0
826,8539.699999999999,0.0,1,0
1226,5751.4000000000015,2315.62,1,0
399,5900.66,0.0,1,0
696,425.73,1810.83,1,0
409,2264.7200000000007,189.68,1,0
2407,5435.390000000001,0.0,2,0
240,4201.890000000002,3.09,1,0
501,1400.7299999999998,1.0,1,0
2372,2783.4200000000005,0.0,2,0
2256,8717.110000000002,2012.6200000000003,2,0
1941,7431.08,0.0,2,0
2238,2020.03,0.0,2,0
337,5293.849999999999,2380.9300000000003,1,0
354,2838.59,1535.3399999999997,1,0
423,5687.719999999999,3631.75,1,0
416,8879.44,2394.8,1,0
1274,4676.419999999999,0.0,1,0
1672,9481.479999999998,0.0,2,0
270,0.0,1024.59,1,0
480,213.36000000000004,1.0,1,0
315,4197.6,0.0,1,0
251,7427.219999999996,0.0,1,0
1708,6731.300000000001,6107.650000000001,3,0
508,822.4300000000002,820.1,1,0
2127,3109.49,1043.58,2,0
542,1640.7599999999998,0.0,1,0
902,3593.11,0.0,1,0
487,20413.54,222.07,0,0
2599,2511.26,0.0,2,0
486,5234.999999999999,0.0,1,0
3454,3287.9,221.76,2,0
614,9413.5,205.59,1,0
2721,4399.829999999999,0.0,2,0
482,5939.26,0.0,1,0
1228,7799.979999999999,0.0,1,0
3019,6231.479999999999,4221.23,2,0
225,8032.84,0.0,1,0
2621,10508.660000000003,0.0,2,0
1293,6660.579999999999,0.0,1,0
346,18497.210000000014,1.0,0,0
380,8604.780000000002,0.0,1,0
191,9997.670000000004,8428.57,3,0
281,3055.930000000001,2896.73,1,0
1157,1778.5600000000002,0.0,1,0
446,0.0,2127.73,1,0
1288,49.760000000000005,4332.969999999999,1,0
678,5255.010000000001,0.0,1,0
228,7592.180000000001,126.3,1,0
2504,21757.08000000001,3.0,0,0
281,3118.1200000000003,0.0,1,0
306,18921.92,1299.3300000000002,0,0
1150,3891.289999999999,0.0,1,0
2316,5116.179999999999,0.0,2,0
256,5476.030000000002,2.0,1,0
558,3909.210000000001,0.0,1,0
701,2564.8,259.89,1,0
319,1043.9299999999998,1378.94,1,0
898,26969.25,3344.65,0,0
3322,2723.7200000000003,0.0,2,0
215,10055.94,0.0,1,0
655,3034.13,0.0,1,0
3101,3109.8400000000006,1055.78,2,0
1627,1633.8200000000002,144.94,1,0
1588,7762.02,2532.1600000000003,1,0
2020,515.5100000000001,901.7,2,0
293,4822.1900000000005,0.0,1,0
874,24962.97,1.0,0,0
632,11008.330000000004,1.0,1,0
486,2638.9300000000017,0.0,1,0
312,28230.89,0.0,0,0
2428,3336.51,0.0,2,0
326,1397.8799999999997,0.0,1,0
672,1187.87,0.0,1,0
278,14040.929999999998,2.0,1,0
286,3110.580000000001,0.0,1,0
1979,10854.579999999998,4058.33,2,0
509,1961.34,0.0,1,0
647,2367.3500000000004,0.0,1,0
632,36415.15,0.0,0,0
357,12108.1,0.0,1,0
844,5874.14,0.0,1,0
1606,3999.849999999999,0.0,1,0
277,1922.58,0.0,1,0
202,2865.1600000000008,3217.9,1,0
1836,3396.3400000000006,0.0,2,0
372,715.15,0.0,1,0
867,5207.809999999999,0.0,1,0
1287,9482.97,4995.72,1,0
555,2246.9500000000007,2017.15,1,0
210,2020.620000000001,411.78,1,0
2145,22335.160000000003,5.0,0,0
2861,9520.299999999994,0.0,2,0
454,8433.959999999997,0.0,1,0
2832,4612.410000000001,0.0,2,0
3099,8654.249999999998,684.2,2,0
516,821.03,0.0,1,0
469,4146.41,0.0,1,0
211,1466.2800000000004,0.0,1,0
433,2756.270000000002,0.0,1,0
350,1078.77,0.0,1,0
823,3319.73,3251.92,1,0
2326,7462.1299999999965,0.0,2,0
1047,6392.37,324.39,1,0
283,8219.58,0.0,1,0
486,2.46,185.35,1,0
342,1609.1400000000003,0.0,1,0
1167,1862.0900000000004,0.0,1,0
1043,2563.01,0.0,1,0
451,16252.609999999995,0.0,0,0
1658,4805.540000000001,0.0,1,0
1369,10620.94,8.09,1,0
2450,7894.950000000002,0.0,2,0
586,3175.540000000001,1.0,1,0
2991,5600.710000000003,0.0,2,0
282,134.17,2612.36,1,0
3044,2011.2799999999995,0.0,2,0
2755,5237.57,0.0,2,0
528,4853.360000000001,0.0,1,0
297,2771.6200000000003,0.0,1,0
326,110.02,1792.21,1,0
650,6724.43,0.0,1,0
2372,1563.6600000000003,0.0,2,0
2838,2166.54,0.0,2,0
1028,291.98,3058.29,1,0
2360,16513.589999999997,1.0,2,0
3080,3967.62,0.0,2,0
1063,4727.749999999997,0.0,1,0
301,13212.3,1564.71,1,0
311,2352.15,0.0,1,0
537,15787.05,1.0,0,0
2372,246.43000000000004,3868.91,2,0
2786,1990.9700000000005,7526.72,3,0
277,4191.38,1693.26,1,0
853,6248.519999999998,0.0,1,0
1614,7264.39,3112.11,1,0
2222,2135.9400000000005,0.0,2,0
477,139.73000000000002,322.16,1,0
486,15892.55,0.0,0,0
756,1820.4,0.0,1,0
1297,2740.47,0.0,1,0
2407,20031.3,1075.67,0,0
